MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3039758-0003811,303.9758,-0.0381,0.21,0.73,0.47,0.61,0.2,62,80,0.76,0.28,0.34,R,,1G303976-000371,G303.973-00.035,,,Simbad,195.1508,-62.8913,3
2G3071215-0057395,307.1215,-0.5739,0.08,0.35,0.32,0.33,0.06,67,112,0.43,0.18,0.38,R,,1G307121-005741,G307.120-00.573,,,Simbad,202.1652,-63.1425,3
2G3294772-0029918,329.4772,-0.2992,0.11,0.8,0.54,0.68,0.09,43,33,0.74,,0.19,C,,,,,,Simbad,240.7978,-52.9906,3
2G3315602-0012230,331.5603,-0.1223,0.56,0.62,0.38,0.51,0.33,33,76,0.78,0.06,0.13,R,,,G331.559-00.128,,,Simbad,243.1199,-51.4583,3
2G0324355+0009274,32.4355,0.0927,0.05,0.56,0.47,0.51,0.04,45,14,0.55,,0.18,C,,,G032.436+00.092,,,Simbad,282.5506,-0.3995,3
2G0289382-0056670,28.9382,-0.5667,0.31,1.12,0.9,1.02,0.23,165,135,0.59,0.25,0.12,R,D,1G028938-005661,,,,Simbad,281.5413,-3.8125,3
2G0346857+0001050,34.6858,0.0105,0.1,0.63,0.42,0.53,0.08,4,68,0.75,,0.13,C,,1G034686+000116,G034.687+00.012,,,Simbad,283.6501,1.5657,3
2G0483944+0028941,48.3945,0.2894,0.07,0.36,0.29,0.33,0.04,157,77,0.59,,0.16,C,,1G048394+002886,G048.395+00.288,,,Simbad,289.7853,13.8617,3
2G3143598+0048815,314.3598,0.4882,0.05,0.22,0.16,0.19,0.02,10,68,0.71,,0.18,C,,,,,,Simbad,216.4125,-60.2764,3
2G0299557-0001015,29.9557,-0.0102,0.18,0.43,0.33,0.38,0.1,67,121,0.63,0.04,0.12,R,,1G029955-000094,,,,Simbad,281.5105,-2.6532,3
2G0320207-0039390,32.0207,-0.3939,0.83,6.51,4.59,5.63,0.65,63,72,0.71,,0.17,C,,,G032.034-00.375,,,Simbad,282.7946,-0.9906,3
