MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G0369080-0030933,36.9081,-0.3093,0.1,0.42,0.41,0.42,0.07,180,92,0.18,0.12,0.1,C,,1G036910-003084,G036.907-00.310,,,Simbad,284.9505,3.3968,1
2G3092894-0062387,309.2894,-0.6239,0.27,0.6,0.44,0.53,0.22,40,126,0.67,0.2,0.17,R,,1G309288-006229,G309.285-00.629,,,Simbad,206.8786,-62.8014,1
2G3283139-0059136,328.314,-0.5914,0.18,0.64,0.58,0.61,0.16,71,132,0.42,0.22,0.49,R,,1G328314-005907,G328.315-00.594,,,Simbad,239.6418,-53.9731,1
2G3162911-0026765,316.2912,-0.2676,0.07,0.24,0.15,0.2,0.05,85,110,0.77,0.18,0.33,R,,,G316.290-00.267,,,Simbad,220.5922,-60.23,1
2G3095512-0072054,309.5513,-0.7206,0.64,1.53,1.26,1.41,0.6,37,129,0.57,0.33,0.41,R,,1G309550-007199,G309.540-00.720,5.4,S141,Simbad,207.4845,-62.8381,1
2G0083668-0035395,8.3669,-0.3539,0.51,0.83,0.62,0.73,0.26,46,92,0.67,0.1,0.18,R,D,1G008368-003536,G008.368-00.356,,,Simbad,271.4182,-21.8884,1
2G0263289-0007072,26.329,-0.0707,0.1,0.75,0.58,0.67,0.2,47,79,0.64,0.39,0.33,R,,1G026329-000689,G026.330-00.071,,N42,Simbad,279.9012,-5.9062,1
2G0108438-0011291,10.8438,-0.1129,0.09,0.37,0.28,0.33,0.06,178,84,0.66,0.28,0.15,R,,,G010.842-00.112,,,Simbad,272.4806,-19.6067,1
2G0412322-0019869,41.2322,-0.1987,0.1,0.42,0.3,0.37,0.09,43,70,0.69,0.11,0.18,R,,1G041232-001989,G041.232-00.203,,,Simbad,286.8433,7.2903,1
2G0522527+0070251,52.2527,0.7025,0.33,1.44,1.24,1.35,0.28,31,117,0.51,0.32,0.4,R,,1G052253+007060,G052.256+00.702,10.0,N114,Simbad,291.2952,17.4592,1
2G3414356+0038403,341.4357,0.384,0.3,0.75,0.57,0.66,0.21,176,84,0.65,0.16,0.34,R,,1G341436+003834,G341.438+00.383,,,Simbad,252.6278,-43.9001,1
2G0133789+0006491,13.3789,0.0649,0.23,0.5,0.33,0.43,0.19,35,87,0.75,0.12,0.12,C,,1G013382+000659,G013.384+00.066,,,Simbad,273.6007,-17.2981,1
2G0535477-0001400,53.5477,-0.014,1.18,2.72,2.18,2.47,0.76,32,93,0.6,0.31,0.39,R,,1G053551-000082,G053.541-00.011,,N115,Simbad,292.606,18.2554,1
2G3392150+0026439,339.215,0.2644,0.17,0.41,0.26,0.34,0.12,143,157,0.79,0.17,0.14,R,,1G339213+002630,G339.216+00.263,,,Simbad,250.7277,-45.6686,1
2G0036650-0009805,3.665,-0.0981,0.09,0.27,0.21,0.24,0.06,62,98,0.64,0.17,0.32,R,,,G003.664-00.098,,CN44,Simbad,268.6189,-25.8411,1
2G3459931-0002014,345.9932,-0.0201,0.33,0.51,0.34,0.43,0.12,156,87,0.75,0.07,0.08,C,,1G345995-000246,G345.997-00.024,,,Simbad,256.8713,-40.5723,1
2G3282857-0056651,328.2857,-0.5665,0.75,1.4,1.26,1.33,0.24,39,116,0.44,0.07,0.54,R,,1G328288-005656,G328.279-00.559,,,Simbad,239.5777,-53.9725,1
2G3342049+0019046,334.205,0.1905,0.16,0.71,0.49,0.61,0.24,71,107,0.72,0.24,0.33,R,,1G334204+001902,G334.202+00.193,,,Simbad,245.7536,-49.3898,1
2G3292981-0038835,329.2982,-0.3884,0.33,0.61,0.46,0.54,0.24,15,85,0.67,0.11,0.07,C,,1G329298-003885,G329.300-00.386,,,Simbad,240.672,-53.1758,1
2G0257219+0005879,25.722,0.0588,0.13,0.38,0.32,0.35,0.1,56,119,0.56,0.16,0.39,R,,1G025723+000585,G025.724+00.058,9.5,,Simbad,279.5055,-6.3862,1
2G0383528-0013276,38.3529,-0.1328,0.27,0.92,0.83,0.88,0.23,37,100,0.44,0.24,0.39,R,,1G038354-001328,G038.353-00.135,,N72,Simbad,285.4557,4.7623,1
2G0398751-0017578,39.8751,-0.1758,0.11,0.36,0.28,0.32,0.07,65,92,0.61,0.11,0.35,R,,1G039874-001737,G039.873-00.177,9.0,,Simbad,286.1949,6.0955,1
2G0194978+0014204,19.4978,0.1421,0.34,0.64,0.4,0.53,0.16,39,84,0.78,0.17,0.21,R,,1G019494+001406,,,,Simbad,276.515,-11.8668,1
2G0033910+0088220,3.3911,0.8822,0.34,0.64,0.5,0.57,0.28,34,117,0.62,0.16,0.16,R,,1G003392+008807,G003.391+00.883,,CN40,Simbad,267.5277,-25.5774,1
2G0320558+0007774,32.0558,0.0777,0.3,0.68,0.6,0.64,0.16,39,101,0.48,0.05,0.36,R,,1G032057+000783,G032.057+00.077,7.2,,Simbad,282.3908,-0.7443,1
2G3563247-0023492,356.3247,-0.2349,0.1,0.39,0.28,0.34,0.08,5,142,0.7,0.2,0.33,R,,1G356325-002346,G356.325-00.234,,CS31,Simbad,264.3805,-32.1805,1
2G3202580-0032150,320.2581,-0.3215,0.25,1.41,1.17,1.29,0.16,39,76,0.55,,0.46,C,P,1G320258-003210,G320.255-00.326,,,Simbad,227.5467,-58.4463,1
2G0098340-0071368,9.834,-0.7137,0.37,1.01,0.85,0.93,0.34,38,124,0.54,0.2,0.42,R,,,G009.834-00.713,,CN138,Simbad,272.5212,-20.7811,1
2G0197420+0027985,19.742,0.2798,0.09,0.47,0.33,0.4,0.2,15,91,0.71,0.25,0.16,R,,1G019742+002800,G019.741+00.280,14.4,,Simbad,276.5069,-11.5865,1
2G0325828+0000283,32.5828,0.0028,0.21,0.97,0.9,0.93,0.16,11,104,0.38,0.2,0.53,R,,1G032584+000057,G032.582+00.001,9.4,N56,Simbad,282.6978,-0.3094,1
2G3512615+0101773,351.2615,1.0177,0.35,1.09,0.83,0.97,0.36,139,123,0.65,0.34,0.37,R,,,G351.261+01.016,,CS87,Simbad,259.7365,-35.6979,1
2G0191336-0064740,19.1336,-0.6474,0.09,0.41,0.32,0.37,0.07,15,70,0.62,0.15,0.38,R,,1G019134-006476,G019.134-00.648,,,Simbad,277.0564,-12.5567,1
2G3221468+0064533,322.1469,0.6453,1.4,1.61,1.01,1.34,0.61,17,106,0.78,0.19,0.13,R,,1G322154+006351,,,,Simbad,229.6177,-56.6386,1
2G3313940+0052765,331.3941,0.5276,0.9,3.89,3.06,3.5,0.58,46,83,0.62,0.22,0.5,R,,1G331374+005224,G331.365+00.521,,S57,Simbad,242.2187,-51.0947,1
2G3294466+0050506,329.4466,0.5051,0.15,0.8,0.47,0.66,0.18,38,96,0.81,0.23,0.25,R,,1G329448+005067,G329.445+00.504,,,Simbad,239.8891,-52.4036,1
2G3317441-0006599,331.7441,-0.066,0.14,0.89,0.57,0.75,0.1,77,61,0.77,,0.21,C,,1G331744-000672,G331.744-00.068,,,Simbad,243.2726,-51.2914,1
2G3027400-0061615,302.7401,-0.6161,0.33,0.55,0.44,0.49,0.24,175,86,0.6,0.07,0.08,C,,1G302739-006172,G302.739-00.618,,,Simbad,192.4298,-63.4872,1
2G0118250+0083947,11.825,0.8395,0.17,0.46,0.35,0.41,0.1,43,86,0.65,0.14,0.26,R,,,G011.823+00.837,,,Simbad,272.102,-18.2871,1
2G3174608-0034701,317.4608,-0.347,0.32,1.71,1.58,1.65,0.28,26,96,0.37,0.32,0.46,R,,1G317463-003466,G317.466-00.350,,S106,Simbad,222.7743,-59.7998,1
2G3115428+0032224,311.5429,0.3222,0.11,0.31,0.23,0.27,0.03,40,41,0.65,,0.24,C,,1G311541+003202,G311.540+00.319,,,Simbad,211.0424,-61.3276,1
2G0223919+0028955,22.3919,0.2896,0.54,0.6,0.48,0.54,0.29,16,145,0.61,0.08,0.07,C,,,G022.397+00.288,,,Simbad,277.7499,-9.2354,1
2G3322921-0053694,332.2922,-0.5369,0.11,0.5,0.37,0.44,0.09,40,90,0.67,,0.24,C,,1G332293-005367,G332.293-00.536,,S55,Simbad,244.4259,-51.2525,1
2G3223977+0020201,322.3977,0.202,0.28,0.7,0.59,0.65,0.36,44,99,0.53,0.19,0.29,R,,1G322398+002040,G322.396+00.201,,,Simbad,230.4383,-56.8775,1
2G0244950+0024940,24.495,0.2494,0.87,3.69,2.85,3.3,0.64,41,12,0.64,,0.28,C,,1G024495+002399,G024.507+00.239,8.8,N35,Simbad,278.7669,-7.3883,1
2G0227214-0000802,22.7215,-0.008,0.14,0.31,0.23,0.27,0.11,155,138,0.68,0.28,0.23,R,,,G022.724-00.010,12.7,,Simbad,278.1715,-9.0807,1
2G0099442-0075522,9.9443,-0.7552,1.23,3.11,2.41,2.78,0.88,23,116,0.63,0.33,0.56,R,,1G009945-007443,G009.942-00.761,,CN139,Simbad,272.617,-20.7045,1
2G3321428+0004378,332.1428,0.0438,0.09,0.38,0.24,0.32,0.11,12,95,0.78,0.31,0.19,R,,1G332143+000436,G332.143+00.043,,,Simbad,243.6135,-50.9375,1
2G3435216-0000424,343.5217,-0.0042,0.16,0.32,0.26,0.29,0.1,56,129,0.58,0.06,0.18,R,,1G343522-000060,G343.521-00.004,,S16,Simbad,254.8422,-42.5225,1
2G3311717-0046070,331.1717,-0.4607,0.12,0.51,0.33,0.43,0.1,4,67,0.76,0.19,0.19,R,,1G331172-004591,G331.172-00.460,,,Simbad,243.0359,-51.9709,1
2G3279883-0009074,327.9883,-0.0907,0.32,1.71,1.08,1.43,0.25,7,66,0.78,,0.46,C,,1G327988-000931,G327.991-00.087,,S71,Simbad,238.6722,-53.7993,1
2G3015499+0029716,301.55,0.2972,0.51,1.06,0.89,0.98,0.29,174,106,0.54,0.28,0.37,R,,1G301551+002993,G301.550+00.301,,S168,Simbad,189.8614,-62.5424,1
2G3142149+0034135,314.215,0.3413,0.25,1.19,0.79,1.01,0.24,111,136,0.75,0.29,0.37,R,,1G314216+003417,G314.219+00.343,,S117,Simbad,216.2439,-60.465,1
2G3271392-0026172,327.1392,-0.2617,0.24,0.75,0.62,0.69,0.33,41,112,0.55,0.36,0.23,R,,1G327138-002613,G327.139-00.261,,S75,Simbad,237.7351,-54.4693,1
2G3213952-0031392,321.3952,-0.3139,0.26,1.15,0.95,1.06,0.36,33,98,0.56,0.48,0.56,R,,1G321395-003135,G321.392-00.315,,S89,Simbad,229.3822,-57.8506,1
2G0404215-0005285,40.4215,-0.0529,0.57,1.16,0.98,1.07,0.44,51,102,0.53,0.32,0.42,R,,1G040421-000493,G040.418-00.055,,N77,Simbad,286.3374,6.6374,1
2G0424237-0027418,42.4238,-0.2742,0.48,1.46,1.07,1.28,0.25,73,73,0.68,,0.23,C,,1G042426-002691,G042.434-00.275,8.1,,Simbad,287.4651,8.3131,1
2G3180641-0008318,318.0642,-0.0832,0.08,0.34,0.3,0.32,0.15,23,95,0.44,0.27,0.14,R,,1G318064-000850,G318.063-00.083,,S102,Simbad,223.6039,-59.293,1
2G0247356+0009368,24.7356,0.0937,0.54,1.48,0.89,1.22,0.27,25,57,0.8,,0.24,C,,1G024735+000889,G024.734+00.087,6.4,,Simbad,279.0179,-7.2463,1
2G3266132-0050101,326.6132,-0.501,0.58,2.61,1.77,2.23,0.32,64,48,0.74,,0.18,C,,1G326607-004680,,,,Simbad,237.2836,-54.985,1
2G3490903+0007443,349.0903,0.0744,0.45,1.1,0.86,0.99,0.24,30,84,0.62,0.03,0.41,R,,1G349091+000756,G349.090+00.071,,S3,Simbad,259.1334,-38.0154,1
2G3058358-0006030,305.8358,-0.0603,0.14,0.61,0.36,0.5,0.09,180,107,0.81,,0.21,C,,1G305837-000638,G305.838-00.059,,,Simbad,199.2202,-62.7885,1
2G3239745+0005725,323.9745,0.0573,0.1,0.47,0.39,0.44,0.11,176,99,0.56,0.27,0.36,R,,1G323974+000576,G323.973+00.057,,S83,Simbad,232.9551,-56.1174,1
2G3111888+0075129,311.1889,0.7513,0.15,0.74,0.65,0.7,0.25,126,129,0.46,0.21,0.29,R,D,1G311190+007536,G311.187+00.748,,S136,Simbad,210.0948,-61.0104,1
2G3192314+0023112,319.2314,0.2311,0.79,1.84,1.53,1.69,0.46,79,140,0.56,0.4,0.58,R,,1G319230+002277,G319.229+00.225,,S99,Simbad,225.3182,-58.4705,1
2G0351392+0080161,35.1392,0.8016,0.11,0.41,0.28,0.35,0.06,178,94,0.73,,0.16,C,D,1G035144+008043,G035.136+00.805,,,Simbad,283.1525,2.3299,1
2G0082602-0044345,8.2603,-0.4435,0.35,0.92,0.8,0.86,0.26,36,106,0.5,0.16,0.28,R,,1G008258-004429,G008.250-00.440,,CN110,Simbad,271.4463,-22.0252,1
2G0514017-0088969,51.4018,-0.8897,0.14,0.63,0.5,0.57,0.19,1,145,0.61,0.14,0.12,R,,1G051401-008889,G051.401-00.890,5.3,,Simbad,292.3334,15.9524,1
2G3109817+0040850,310.9818,0.4085,0.4,3.07,2.45,2.77,0.47,38,65,0.6,0.28,0.64,R,,1G310982+004071,G310.983+00.404,4.4,S137,Simbad,209.8664,-61.3955,1
2G0102306-0030517,10.2307,-0.3052,0.27,0.95,0.89,0.92,0.2,29,146,0.36,0.14,0.28,R,,1G010230-003044,G010.227-00.303,,N1 CN146,Simbad,272.3442,-20.2363,1
2G0329568+0012555,32.9569,0.1255,0.14,0.53,0.43,0.48,0.11,143,101,0.59,0.18,0.17,R,,1G032957+001262,G032.957+00.125,4.8,,Simbad,282.7592,0.0795,1
2G3044632-0002005,304.4632,-0.0201,0.54,0.96,0.74,0.86,0.3,39,98,0.64,0.33,0.47,R,,1G304463-000217,G304.465-00.023,,S160,Simbad,196.2169,-62.8519,1
2G3077951-0048175,307.7952,-0.4818,0.12,0.43,0.38,0.4,0.15,45,99,0.49,0.36,0.36,R,,1G307795-004815,G307.795-00.481,,S146,Simbad,203.602,-62.9471,1
2G3549801-0053121,354.9801,-0.5312,0.47,1.48,1.2,1.34,0.47,39,101,0.59,0.41,0.52,R,,1G354981-005283,G354.979-00.527,,CS39,Simbad,263.8162,-33.4731,1
2G3119145+0022631,311.9146,0.2263,0.65,1.85,1.25,1.58,0.47,32,75,0.74,0.12,0.21,R,,1G311910+002181,G311.919+00.204,7.9,,Simbad,211.8418,-61.3142,1
2G3239159+0003227,323.916,0.0323,0.16,0.45,0.36,0.41,0.21,92,88,0.61,0.18,0.36,R,,1G323916+000320,G323.915+00.026,,S84,Simbad,232.8947,-56.1714,1
2G0123353-0011565,12.3353,-0.1157,0.22,0.5,0.35,0.43,0.09,74,136,0.72,0.08,0.2,R,,1G012335-001147,G012.333-00.120,,,Simbad,273.2425,-18.3008,1
2G3200379-0054927,320.0379,-0.5493,0.21,0.77,0.69,0.73,0.17,65,108,0.45,0.09,0.12,C,,,G320.037-00.551,,,Simbad,227.4031,-58.7542,1
2G0233329-0044142,23.333,-0.4414,0.27,0.7,0.44,0.59,0.12,61,60,0.78,0.09,0.18,R,,1G023335-004406,G023.326-00.437,,,Simbad,278.8461,-8.7379,1
2G3049137+0038007,304.9138,0.3801,0.3,1.0,0.76,0.89,0.17,44,75,0.65,0.05,0.2,R,,1G304911+003813,G304.909+00.378,,,Simbad,197.144,-62.4257,1
2G3125372+0006136,312.5372,0.0614,0.11,0.35,0.27,0.31,0.08,56,101,0.65,0.16,0.21,R,,1G312538+000614,G312.536+00.064,,S129,Simbad,213.1816,-61.2852,1
2G3395596+0028630,339.5596,0.2863,0.17,0.8,0.65,0.73,0.13,4,116,0.58,0.26,0.44,R,,1G339559+002861,G339.556+00.282,,,Simbad,251.0267,-45.3941,1
2G3379704-0047203,337.9705,-0.472,0.73,2.96,2.21,2.61,0.61,84,114,0.66,0.37,0.65,R,,1G337965-004696,G337.957-00.474,,S36,Simbad,250.3416,-47.0899,1
2G3292760+0010972,329.276,0.1097,0.3,1.1,0.98,1.04,0.35,54,83,0.46,0.34,0.38,R,,1G329275+001097,G329.266+00.111,,S70,Simbad,240.1009,-52.8146,1
2G0300675+0009643,30.0675,0.0964,0.05,0.4,0.21,0.32,0.03,39,7,0.85,,0.13,C,,,G030.067+00.097,,,Simbad,281.4666,-2.5051,1
2G3388846+0054228,338.8846,0.5423,0.13,0.68,0.47,0.58,0.11,42,66,0.73,0.13,0.26,R,D,1G338884+005415,G338.883+00.537,,S30,Simbad,250.1166,-45.7334,1
2G0176251+0004813,17.6252,0.0481,0.1,0.39,0.32,0.36,0.1,172,128,0.54,0.42,0.36,R,,1G017626+000493,G017.625+00.048,,,Simbad,275.702,-13.5658,1
2G3544645+0007160,354.4646,0.0716,0.38,1.33,1.15,1.24,0.45,18,105,0.5,0.55,0.54,R,,1G354465+000747,G354.465+00.079,,CS48,Simbad,262.8731,-33.5774,1
2G0420562-0012027,42.0562,-0.1203,0.13,0.55,0.38,0.47,0.15,6,67,0.72,0.26,0.25,R,,1G042056-001204,G042.057-00.121,,,Simbad,287.1559,8.0579,1
2G0232994-0028212,23.2995,-0.2821,0.07,0.31,0.26,0.29,0.13,97,145,0.53,0.1,0.2,R,,,G023.299-00.281,,,Simbad,278.6874,-8.6943,1
2G3368212-0028351,336.8212,-0.2835,0.1,0.56,0.31,0.45,0.05,136,38,0.83,,0.22,C,,1G336821-002829,G336.822-00.283,,,Simbad,248.9998,-47.8202,1
2G3203777+0017259,320.3778,0.1726,0.09,0.51,0.31,0.42,0.07,164,55,0.79,0.2,0.5,R,,1G320377+001728,G320.376+00.172,,,Simbad,227.2695,-57.9593,1
2G0088666-0032504,8.8667,-0.3251,0.63,1.13,0.84,1.0,0.39,23,84,0.67,0.06,0.33,R,,1G008867-003251,G008.865-00.323,,CN123,Simbad,271.6538,-21.4382,1
2G0288010+0017290,28.8011,0.1729,0.12,0.6,0.54,0.57,0.13,170,74,0.45,0.19,0.62,R,,1G028801+001734,G028.801+00.170,8.2,,Simbad,280.8192,-3.5967,1
2G0437223+0012010,43.7224,0.1201,0.52,1.75,1.18,1.49,0.25,176,43,0.74,,0.15,C,,1G043734+001170,G043.730+00.114,6.1,N89,Simbad,287.7183,9.647,1
2G3523949-0006477,352.395,-0.0648,0.54,0.95,0.74,0.85,0.43,41,102,0.62,0.3,0.29,R,,1G352393-000667,G352.393-00.066,,CS71,Simbad,261.6218,-35.3769,1
2G0143512-0064262,14.3513,-0.6426,0.37,0.61,0.54,0.57,0.29,165,124,0.47,0.07,0.09,C,,1G014352-006431,G014.351-00.642,,,Simbad,274.7352,-16.779,1
2G3054377-0023012,305.4377,-0.2301,0.13,0.34,0.27,0.31,0.09,28,92,0.63,0.12,0.19,R,,1G305439-002312,G305.439-00.232,,S151,Simbad,198.3846,-62.9943,1
2G0397291-0039358,39.7291,-0.3936,0.3,0.48,0.35,0.42,0.18,175,128,0.67,0.18,0.19,R,,1G039728-003965,G039.728-00.396,9.1,,Simbad,286.3221,5.8659,1
2G0074127+0068943,7.4127,0.6894,1.79,3.67,2.8,3.27,1.14,17,100,0.65,0.26,0.45,R,,1G007439+007066,G007.443+00.704,,CN99,Simbad,269.9313,-22.204,1
2G0596230-0022229,59.623,-0.2223,0.19,0.7,0.59,0.65,0.19,34,95,0.54,0.06,0.13,R,,,G059.623-00.222,,,Simbad,295.9815,23.4527,1
2G3320713+0049972,332.0713,0.4997,0.24,0.95,0.89,0.92,0.35,19,129,0.36,0.35,0.26,R,,1G332071+005004,G332.070+00.500,,S56,Simbad,243.0362,-50.655,1
2G0561570+0007610,56.1571,0.0761,0.12,0.45,0.36,0.41,0.09,91,109,0.61,0.17,0.36,R,,,G056.153+00.076,9.9,,Simbad,293.8598,20.5833,1
2G3516589+0051130,351.6589,0.5113,0.81,2.52,2.16,2.34,0.52,30,72,0.52,,0.43,C,,1G351660+005114,G351.651+00.510,,CS79,Simbad,260.5277,-35.6609,1
2G3026317-0066810,302.6317,-0.6681,0.06,1.0,0.67,0.85,0.06,107,74,0.74,,0.22,C,,1G302634-006686,G302.636-00.672,,,Simbad,192.1858,-63.5383,1
2G3277324-0039534,327.7324,-0.3953,0.08,0.44,0.37,0.41,0.07,68,114,0.56,0.15,0.39,R,,1G327733-003947,G327.735-00.396,,,Simbad,238.6677,-54.1971,1
2G0286040-0037144,28.604,-0.3714,0.34,0.83,0.56,0.71,0.15,61,63,0.74,0.34,0.27,R,,1G028601-003690,G028.600-00.376,,,Simbad,281.2142,-4.0207,1
2G0024521+0013755,2.4522,0.1376,0.14,0.6,0.46,0.53,0.1,27,117,0.65,,0.13,C,,1G002452+001373,G002.451+00.136,,,Simbad,267.7041,-26.7652,1
2G3280588+0038233,328.0588,0.3823,0.09,0.32,0.31,0.31,0.11,159,107,0.32,0.12,0.15,R,,1G328059+003823,G328.059+00.383,,,Simbad,238.257,-53.3895,1
2G0195864-0005056,19.5864,-0.0506,0.06,0.48,0.43,0.46,0.06,59,102,0.41,0.25,0.37,R,,1G019588-000480,G019.588-00.049,,N26,Simbad,276.7314,-11.8782,1
2G0029616-0005086,2.9617,-0.0509,0.09,0.42,0.38,0.4,0.15,17,99,0.46,0.35,0.33,R,,1G002962-000501,G002.961-00.053,,CN36,Simbad,268.1762,-26.4232,1
2G0495731-0027082,49.5732,-0.2708,0.09,0.3,0.22,0.27,0.09,4,92,0.67,0.1,0.26,R,D,1G049573-002712,G049.573-00.272,,,Simbad,290.8675,14.6383,1
2G0179176-0068641,17.9176,-0.6864,0.19,1.12,0.94,1.04,0.21,169,101,0.55,0.39,0.38,R,,1G017921-006843,G017.928-00.677,12.8,N20,Simbad,276.5107,-13.651,1
2G3134915+0032080,313.4916,0.3208,0.27,0.51,0.37,0.45,0.15,69,134,0.68,0.19,0.14,R,,1G313492+003226,G313.492+00.319,,,Simbad,214.8744,-60.7328,1
2G3449442+0020133,344.9442,0.2013,0.11,0.45,0.33,0.4,0.05,26,57,0.67,,0.13,C,,1G344943+001995,G344.943+00.200,,,Simbad,255.7981,-41.2737,1
2G0265576-0029669,26.5576,-0.2967,0.09,0.37,0.3,0.34,0.03,53,45,0.6,,0.23,C,,1G026557-002997,,,,Simbad,280.2084,-5.8065,1
2G3217772-0064826,321.7772,-0.6483,0.42,0.77,0.6,0.69,0.2,22,97,0.61,0.05,0.2,R,,1G321777-006467,G321.777-00.647,,,Simbad,230.326,-57.9284,1
2G0126401+0009829,12.6402,0.0983,0.08,0.27,0.23,0.25,0.06,34,64,0.57,0.24,0.21,R,,1G012641+000994,G012.640+00.098,,,Simbad,273.1988,-17.9306,1
2G0303412+0038042,30.3413,0.3804,0.15,0.55,0.45,0.5,0.17,52,72,0.6,0.18,0.19,R,,1G030342+003810,G030.339+00.381,,,Simbad,281.3388,-2.1318,1
2G0119536-0004049,11.9536,-0.0405,0.58,0.61,0.5,0.56,0.32,176,102,0.56,0.17,0.2,R,,1G011949-000353,,,,Simbad,272.9797,-18.5995,1
2G3454919+0035618,345.4919,0.3562,0.1,0.61,0.44,0.53,0.1,18,78,0.7,0.14,0.38,R,,1G345494+003552,G345.491+00.354,,,Simbad,256.0769,-40.7448,1
2G0265958+0009773,26.5959,0.0977,0.29,0.73,0.59,0.66,0.24,9,114,0.59,0.35,0.4,R,,1G026593+000972,G026.595+00.095,9.2,N43,Simbad,279.8737,-5.5918,1
2G0562579-0010555,56.258,-0.1056,0.37,1.1,0.7,0.92,0.32,21,102,0.77,0.15,0.19,R,,1G056259-001024,G056.260-00.104,,,Simbad,294.0818,20.5829,1
2G3351624-0024436,335.1625,-0.2444,0.39,1.17,0.89,1.04,0.46,13,93,0.65,0.44,0.38,R,,1G335163-002431,G335.168-00.240,,S42,Simbad,247.2524,-49.0067,1
2G0287294-0023228,28.7295,-0.2323,0.06,0.25,0.21,0.23,0.05,36,92,0.54,0.26,0.31,R,,1G028730-002332,G028.730-00.234,,,Simbad,281.1476,-3.8455,1
2G0389274-0038612,38.9275,-0.3861,0.2,0.72,0.59,0.66,0.21,174,119,0.57,0.38,0.38,R,,1G038928-003861,G038.926-00.389,,N75,Simbad,285.9459,5.157,1
2G3369988-0003005,336.9988,-0.0301,0.12,0.25,0.21,0.23,0.06,169,83,0.56,0.08,0.13,R,,,G337.001-00.030,7.8,,Simbad,248.8996,-47.5182,1
2G3126749+0004753,312.675,0.0475,0.23,1.53,1.32,1.43,0.23,17,109,0.51,0.32,0.51,R,,1G312675+000465,G312.675+00.048,,S128,Simbad,213.4631,-61.2555,1
2G2997749-0028581,299.7749,-0.2858,0.12,0.69,0.43,0.57,0.1,43,65,0.78,0.22,0.27,R,,1G299776-002838,G299.773-00.286,,S173,Simbad,185.8952,-62.9867,1
2G3327494+0067420,332.7495,0.6742,0.48,1.11,0.78,0.96,0.31,90,82,0.72,0.07,0.18,R,,1G332748+006738,G332.744+00.674,,,Simbad,243.6214,-50.0626,1
2G0412281+0016933,41.2282,0.1693,0.15,0.45,0.35,0.4,0.17,31,121,0.62,0.3,0.22,R,,1G041229+001685,G041.226+00.167,,N78,Simbad,286.5119,7.456,1
2G3143234+0038091,314.3234,0.3809,0.23,0.49,0.35,0.43,0.22,48,73,0.69,0.09,0.08,C,,,G314.323+00.384,,,Simbad,216.4209,-60.3896,1
2G0054861-0023595,5.4862,-0.236,0.13,0.66,0.51,0.59,0.07,58,84,0.63,0.03,0.12,C,,,G005.484-00.232,,CN66 CN65,Simbad,269.7604,-24.3354,1
2G3136696-0010230,313.6697,-0.1023,0.7,1.51,1.05,1.3,0.54,25,64,0.72,0.26,0.19,R,,1G313670-001046,G313.671-00.105,,,Simbad,215.5133,-61.0707,1
2G3180579-0044873,318.0579,-0.4487,0.19,0.42,0.38,0.4,0.25,12,106,0.42,0.15,0.49,R,,1G318058-004489,G318.059-00.450,,,Simbad,223.9216,-59.6209,1
2G0193539-0009211,19.3539,-0.0921,0.17,1.15,0.85,1.01,0.13,164,57,0.67,,0.17,C,,1G019359-000967,G019.362-00.097,,,Simbad,276.6582,-12.1033,1
2G3203146-0017732,320.3147,-0.1773,0.09,0.71,0.53,0.63,0.07,170,78,0.66,,0.44,C,,1G320316-001745,G320.311-00.176,12.4,,Simbad,227.5006,-58.2933,1
2G3114739+0040356,311.4739,0.4036,0.11,0.35,0.28,0.32,0.09,62,96,0.58,0.08,0.17,R,D,1G311474+004029,,,S135,Simbad,210.8575,-61.2685,1
2G0541090-0006651,54.109,-0.0665,0.6,2.0,1.58,1.8,0.5,40,84,0.61,0.29,0.32,R,,1G054106-000635,G054.099-00.068,,N117 N116,Simbad,292.9392,18.7222,1
2G3313202-0017411,331.3202,-0.1741,0.26,0.75,0.62,0.69,0.17,29,114,0.57,0.08,0.31,R,,1G331321-001758,G331.322-00.176,,,Simbad,242.8948,-51.6602,1
2G0110236-0036715,11.0237,-0.3671,0.07,0.21,0.17,0.19,0.06,167,113,0.6,0.19,0.17,R,,,G011.023-00.369,,,Simbad,272.8091,-19.5718,1
2G3321490-0043503,332.1491,-0.435,0.83,1.78,1.45,1.63,0.37,19,89,0.58,0.04,0.15,R,,1G332148-004383,G332.145-00.452,3.7,,Simbad,244.1484,-51.2788,1
2G3294734+0037459,329.4735,0.3746,0.06,0.26,0.19,0.23,0.04,162,117,0.67,0.16,0.24,R,,1G329474+003750,G329.472+00.373,,,Simbad,240.0621,-52.485,1
2G3507082+0099881,350.7083,0.9988,0.27,0.82,0.7,0.76,0.33,30,85,0.51,0.15,0.13,R,,,G350.707+00.999,,CS98,Simbad,259.3622,-36.161,1
2G0355434+0001109,35.5434,0.0111,0.15,0.75,0.7,0.72,0.11,29,64,0.38,0.18,0.39,R,,1G035544+000131,G035.543+00.006,10.1,N67,Simbad,284.041,2.3291,1
